"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1764","addProductUsingPojo","Capstone Practice Suite","2026-07-20","passed","2026-07-20","com.api.testing.tests.ProductTest","API Tests","com.api.testing.tests.ProductTest","addProductUsingPojo"
"","62","getSingleProduct","Capstone Practice Suite","2026-07-20","passed","2026-07-20","com.api.testing.tests.ProductTest","API Tests","com.api.testing.tests.ProductTest","getSingleProduct"
"","73","multipleHeadersTest","Capstone Practice Suite","2026-07-20","passed","2026-07-20","com.api.testing.tests.ProductTest","API Tests","com.api.testing.tests.ProductTest","multipleHeadersTest"
"","2683","addProduct","Default Suite","2026-07-20","passed","2026-07-20","com.api.testing.tests.ProductTest","CapstonePractice","com.api.testing.tests.ProductTest","addProduct"
"","4894","getCurrentUserTest","Default Suite","2026-07-20","passed","2026-07-20","com.api.testing.tests.AuthTest","CapstonePracticeAPI","com.api.testing.tests.AuthTest","getCurrentUserTest"
"","38","printAllHeaders","Capstone Practice Suite","2026-07-20","passed","2026-07-20","com.api.testing.tests.ProductTest","API Tests","com.api.testing.tests.ProductTest","printAllHeaders"
"","6255","verifyCurrentUser","Default Suite","2026-07-20","passed","2026-07-20","com.api.testing.tests.AuthTest","CapstonePracticeAPI","com.api.testing.tests.AuthTest","verifyCurrentUser"
"","2","setup","Default Suite","2026-07-20","broken","2026-07-20","com.api.testing.tests.ProductTest","CapstonePracticeAPI","com.api.testing.tests.ProductTest","setup"
"","50","validateRequestHeaders","Capstone Practice Suite","2026-07-20","passed","2026-07-20","com.api.testing.tests.ProductTest","API Tests","com.api.testing.tests.ProductTest","validateRequestHeaders"
"","390","getAllProducts","Capstone Practice Suite","2026-07-20","passed","2026-07-20","com.api.testing.tests.ProductTest","API Tests","com.api.testing.tests.ProductTest","getAllProducts"
"","171","searchProductTest","Capstone Practice Suite","2026-07-20","passed","2026-07-20","com.api.testing.tests.ProductTest","API Tests","com.api.testing.tests.ProductTest","searchProductTest"
"","180","patchProduct","Capstone Practice Suite","2026-07-20","passed","2026-07-20","com.api.testing.tests.ProductTest","API Tests","com.api.testing.tests.ProductTest","patchProduct"
"","153","verifyProductById","Capstone Practice Suite","2026-07-20","passed","2026-07-20","com.api.testing.tests.ProductTest","API Tests","com.api.testing.tests.ProductTest","verifyProductById"
"","2134","cookiesExample","Default Suite","2026-07-20","failed","2026-07-20","com.api.testing.tests.ProductTest","CapstonePracticeAPI","com.api.testing.tests.ProductTest","cookiesExample"
"","501","updateProduct","Capstone Practice Suite","2026-07-20","passed","2026-07-20","com.api.testing.tests.ProductTest","API Tests","com.api.testing.tests.ProductTest","updateProduct"
"","188","addProductUsingSerializationAndDeserialization","Capstone Practice Suite","2026-07-20","passed","2026-07-20","com.api.testing.tests.ProductTest","API Tests","com.api.testing.tests.ProductTest","addProductUsingSerializationAndDeserialization"
"","2823","loginTest","Default Suite","2026-07-20","passed","2026-07-20","com.api.testing.tests.AuthTest","CapstonePractice","com.api.testing.tests.AuthTest","loginTest"
"","39","validateResponseHeaders","Capstone Practice Suite","2026-07-20","passed","2026-07-20","com.api.testing.tests.ProductTest","API Tests","com.api.testing.tests.ProductTest","validateResponseHeaders"
"","203","deleteProduct","Capstone Practice Suite","2026-07-20","passed","2026-07-20","com.api.testing.tests.ProductTest","API Tests","com.api.testing.tests.ProductTest","deleteProduct"
"","235","searchProduct","Capstone Practice Suite","2026-07-20","passed","2026-07-20","com.api.testing.tests.ProductTest","API Tests","com.api.testing.tests.ProductTest","searchProduct"
"","4067","formParamExample","Default Suite","2026-07-20","failed","2026-07-20","com.api.testing.tests.ProductTest","CapstonePracticeAPI","com.api.testing.tests.ProductTest","formParamExample"
